User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
1086,426,355,1,2,1257,744,2001,969,964,1933
3239,426,170,1,2,75,961,1036,35,296,331
3478,426,191,1,2,266,1145,1411,213,217,430
489,425,183,1,2,472,1233,1705,220,357,577
641,425,279,1,2,512,490,1002,403,695,1098
1063,425,223,1,0,109,916,1025,199,367,566
3045,425,280,1,2,146,770,916,239,625,864
1030,424,101,1,2,44,1034,1078,62,148,210
1127,424,440,1,2,490,521,1011,283,1068,1351
1214,424,87,0,0,815,814,1629,93,26,119
301,423,127,1,2,509,686,1195,119,88,207
1131,423,166,1,2,336,689,1025,240,152,392
3646,422,208,1,2,161,1449,1610,62,361,423
266,421,102,0,0,856,734,1590,776,795,1571
670,421,385,1,2,816,413,1229,558,1016,1574
735,421,210,1,0,412,961,1373,590,439,1029
795,421,90,0,0,2,1649,1651,4,160,164
824,421,172,1,2,465,738,1203,372,228,600
1126,421,258,1,1,21,849,870,22,507,529
1281,421,277,0,0,384,613,997,482,444,926
1721,421,161,1,2,118,1778,1896,76,231,307
2010,421,93,0,0,294,800,1094,281,77,358
2047,421,195,1,2,114,1629,1743,120,354,474
445,420,185,0,0,524,495,1019,271,308,579
1242,420,171,0,0,17,1310,1327,34,412,446
1324,420,111,1,2,374,1830,2204,139,90,229
1582,420,83,1,2,166,838,1004,56,80,136
2572,420,58,0,0,1066,1129,2195,355,290,645
55,419,520,1,2,1333,255,1588,2695,503,3198
93,419,271,0,0,1107,170,1277,1542,671,2213
127,419,158,1,2,572,690,1262,286,91,377
355,419,474,1,2,1156,170,1326,687,985,1672
580,419,433,1,0,681,878,1559,1144,378,1522
1119,419,357,1,2,937,234,1171,739,690,1429
3468,419,256,1,2,327,801,1128,82,755,837
339,418,100,0,0,1118,821,1939,262,171,433
938,418,182,0,2,50,1231,1281,80,395,475
1000,417,265,1,0,194,685,879,300,428,728
2417,417,86,1,2,205,893,1098,36,124,160
168,416,217,1,0,973,226,1199,774,760,1534
282,416,270,1,0,765,0,765,554,264,818
1417,416,182,1,2,49,1187,1236,25,260,285
1899,416,118,1,0,173,929,1102,126,246,372
609,415,110,1,2,143,1540,1683,47,246,293
1979,415,146,0,1,12,1202,1214,95,362,457
3442,415,187,0,0,62,1199,1261,322,581,903
9,414,183,0,0,1038,243,1281,591,468,1059
49,414,179,1,2,1073,699,1772,305,312,617
405,414,485,2,1,2650,360,3010,1583,11,1594
728,414,48,1,2,1,2227,2228,14,54,68
1596,414,172,0,0,900,468,1368,838,710,1548
2389,414,48,0,0,117,1829,1946,47,92,139
3676,414,72,1,2,23,1462,1485,7,98,105
287,413,199,1,0,320,871,1191,491,442,933
1515,413,77,0,0,2202,498,2700,466,402,868
1696,413,144,0,0,744,218,962,329,107,436
2241,413,352,1,0,226,759,985,334,847,1181
207,411,253,1,2,61,1524,1585,60,620,680
1379,411,450,0,2,955,1379,2334,1144,12,1156
1949,411,89,0,0,832,1468,2300,133,185,318
108,410,190,0,0,187,1561,1748,61,453,514
848,410,30,0,0,48,1933,1981,19,31,50
1147,410,264,0,0,613,613,1226,579,167,746
1296,410,140,0,0,14,1394,1408,43,359,402
369,409,174,0,0,705,801,1506,355,321,676
1708,409,61,0,0,42,848,890,74,73,147
1787,409,139,0,0,257,1126,1383,197,374,571
2315,409,51,1,0,269,1603,1872,64,37,101
465,408,238,0,0,437,554,991,490,626,1116
2162,408,123,0,0,1300,1219,2519,180,286,466
213,407,351,1,2,942,694,1636,921,712,1633
1378,407,115,1,2,261,1214,1475,109,119,228
1651,407,248,1,1,644,426,1070,351,25,376
318,406,44,0,0,2320,1608,3928,71,23,94
687,405,481,1,0,560,308,868,1535,710,2245
922,405,28,1,2,163,1253,1416,31,1,32
1540,405,95,0,1,1039,0,1039,234,23,257
820,404,226,0,0,322,952,1274,281,196,477
1286,404,79,0,0,404,695,1099,114,158,272
1567,404,185,1,0,171,830,1001,136,305,441
3520,404,366,1,2,22,675,697,90,779,869
335,403,62,0,0,1775,500,2275,284,231,515
2307,403,244,1,2,19,1116,1135,77,788,865
297,402,156,1,1,70,737,807,115,293,408
393,402,200,1,0,347,642,989,179,268,447
1629,402,202,1,2,387,899,1286,200,559,759
1870,402,184,0,0,1323,399,1722,782,369,1151
2127,402,87,0,0,14,1261,1275,12,155,167
2682,402,120,0,0,16,969,985,536,729,1265
555,401,305,0,1,188,707,895,547,966,1513
810,401,96,1,2,1559,1224,2783,170,50,220
3465,401,314,1,2,34,1073,1107,29,549,578
37,400,155,0,0,1234,548,1782,252,127,379
196,400,217,1,2,457,394,851,249,171,420
737,399,88,0,0,1705,721,2426,201,77,278
739,399,9,1,2,51,1405,1456,9,0,9
1547,399,169,0,2,63,916,979,28,326,354
1680,399,119,0,0,10,1050,1060,173,369,542
132,398,73,0,0,1311,733,2044,294,254,548
1174,398,119,0,0,1276,690,1966,251,188,439
2287,398,284,1,0,18,768,786,132,644,776
3935,398,57,1,2,99,716,815,75,108,183
3579,397,187,0,0,58,1067,1125,28,471,499
3962,397,271,1,2,465,976,1441,140,707,847
793,396,185,1,2,467,428,895,874,714,1588
1700,396,27,1,0,268,1461,1729,21,22,43
2288,396,168,1,0,21,1875,1896,31,393,424
2373,396,61,0,1,269,1773,2042,64,154,218
487,395,72,0,0,719,1449,2168,153,183,336
524,395,59,0,0,160,1357,1517,15,67,82
548,395,130,0,1,1238,319,1557,527,579,1106
865,395,228,1,2,36,1019,1055,79,468,547
1018,395,154,1,2,84,1501,1585,103,273,376
1769,395,53,0,0,9,1125,1134,21,169,190
1811,395,264,1,0,39,874,913,181,528,709
2094,395,264,1,2,5,1460,1465,4,751,755
2308,395,155,1,2,284,705,989,145,137,282
2350,395,15,0,0,10,1891,1901,8,49,57
1415,394,86,0,1,1239,153,1392,916,806,1722
1859,394,47,0,0,26,1013,1039,56,127,183
939,393,125,0,0,922,1170,2092,269,372,641
1015,393,89,0,0,2598,1173,3771,327,157,484
1900,393,178,1,0,147,695,842,121,342,463
3409,393,116,0,0,19,1190,1209,85,369,454
574,392,181,0,1,1545,251,1796,836,611,1447
661,392,337,1,2,153,786,939,129,536,665
1407,392,104,0,1,1312,205,1517,412,241,653
3471,392,239,1,2,35,783,818,108,550,658
744,391,81,0,0,431,709,1140,887,906,1793
1593,391,137,0,0,830,1633,2463,246,280,526
1170,390,357,0,0,521,658,1179,707,310,1017
2810,390,102,0,0,294,2045,2339,123,290,413
3123,390,272,1,1,118,858,976,57,791,848
3277,390,60,0,0,20,1692,1712,26,132,158
562,389,204,1,2,108,1178,1286,59,408,467
1468,389,237,1,0,203,773,976,298,477,775
1880,389,118,0,0,1711,721,2432,143,236,379
2237,389,304,1,0,51,867,918,95,582,677
3024,389,65,1,0,474,753,1227,159,49,208
3541,389,245,1,2,63,888,951,39,434,473
206,388,236,1,0,103,767,870,71,537,608
879,388,297,1,2,419,745,1164,476,478,954
950,388,88,1,0,611,226,837,120,36,156
1387,387,265,1,0,313,760,1073,339,687,1026
1654,386,38,0,0,15,1602,1617,4,76,80
1677,386,108,1,0,82,2269,2351,80,137,217
2090,386,283,1,2,157,827,984,62,646,708
3288,386,25,1,2,5,1369,1374,7,27,34
3963,386,334,0,0,16,1143,1159,42,882,924
101,385,300,1,2,613,131,744,307,525,832
219,385,100,1,2,194,1077,1271,206,19,225
623,385,469,2,1,1085,193,1278,1490,16,1506
1436,385,184,1,0,67,1142,1209,115,442,557
2247,385,43,0,1,1150,0,1150,57,0,57
46,384,231,0,0,481,158,639,499,486,985
2719,384,119,1,0,96,1181,1277,109,243,352
3659,384,42,1,2,1490,1095,2585,219,9,228
460,383,85,0,1,797,44,841,519,464,983
819,383,186,1,2,439,1394,1833,213,251,464
3689,383,119,1,0,32,1737,1769,40,205,245
1500,382,84,0,2,42,1406,1448,58,88,146
3161,382,171,0,0,400,749,1149,186,363,549
3696,382,332,1,2,179,750,929,169,690,859
173,381,168,1,2,1305,0,1305,493,0,493
413,381,21,0,0,21,1498,1519,79,104,183
1167,381,9,0,0,77,2188,2265,38,31,69
1406,381,82,1,0,575,776,1351,127,112,239
87,380,377,0,0,921,139,1060,633,405,1038
386,379,314,1,2,144,811,955,119,817,936
1308,379,240,0,0,1116,94,1210,884,538,1422
1372,379,230,1,2,1574,291,1865,619,147,766
1109,378,232,0,0,844,226,1070,420,87,507
1890,378,135,0,0,368,1109,1477,303,390,693
378,376,112,0,0,1434,632,2066,225,46,271
512,376,98,1,2,762,1551,2313,106,57,163
999,376,104,1,2,84,1424,1508,49,179,228
421,375,397,1,2,776,112,888,525,626,1151
471,375,46,0,1,2019,1242,3261,62,2,64
2909,375,225,1,2,1120,484,1604,514,94,608
3733,375,151,1,0,6,1012,1018,113,542,655
68,374,76,0,1,820,574,1394,177,86,263
984,374,15,0,0,8,1552,1560,4,21,25
3282,374,200,1,2,476,548,1024,313,210,523
3743,373,97,0,1,1095,571,1666,185,34,219
201,372,247,1,2,92,1266,1358,68,627,695
916,372,254,1,2,92,650,742,310,408,718
1350,372,233,0,0,56,609,665,124,440,564
2576,372,160,1,0,7,1271,1278,20,308,328
3708,372,196,1,2,89,704,793,41,315,356
1049,371,163,1,2,96,1412,1508,76,393,469
1124,371,396,1,2,967,10,977,768,614,1382
1144,371,201,1,0,1004,352,1356,580,77,657
359,370,478,1,2,211,455,666,1295,191,1486
835,370,32,0,0,1487,1109,2596,298,269,567
1061,370,192,1,2,263,905,1168,174,472,646
1245,370,135,1,0,93,1391,1484,106,296,402
2100,370,241,1,2,249,910,1159,281,673,954
3219,370,200,0,0,449,463,912,556,361,917
103,369,113,1,0,512,162,674,338,158,496
746,369,207,0,0,536,559,1095,633,615,1248
828,369,120,1,0,416,658,1074,274,73,347
1693,369,319,1,2,238,454,692,208,909,1117
1737,369,46,0,0,183,1916,2099,34,61,95
319,368,36,0,1,1704,1893,3597,63,26,89
634,368,244,1,2,583,999,1582,435,430,865
1254,368,132,1,0,196,1590,1786,162,298,460
382,367,271,1,2,208,601,809,170,616,786
919,367,81,0,0,131,1004,1135,75,85,160
363,366,132,0,0,428,1732,2160,100,161,261
2058,366,227,0,1,1103,204,1307,558,17,575
3479,366,122,1,0,5,1394,1399,16,328,344
427,365,213,0,0,537,411,948,469,711,1180
431,365,223,1,2,74,823,897,98,538,636
2649,365,75,0,0,337,1150,1487,85,134,219
2934,365,210,0,0,31,754,785,128,413,541
2950,365,286,1,2,42,1165,1207,97,767,864
3221,365,61,0,0,294,1312,1606,118,126,244
3487,365,107,0,0,465,1274,1739,408,298,706
129,364,360,0,0,325,338,663,191,1044,1235
606,364,312,1,0,70,809,879,155,705,860
712,364,74,0,0,563,601,1164,203,230,433
907,364,79,0,0,320,955,1275,279,315,594
1803,364,241,1,2,776,0,776,434,0,434
645,363,467,1,0,823,0,823,642,1346,1988
1232,363,232,1,0,672,298,970,644,391,1035
1353,363,87,0,0,454,1263,1717,217,292,509
2552,363,108,1,0,8,1657,1665,33,208,241
1238,362,122,0,0,9,893,902,64,318,382
1368,362,280,1,2,285,662,947,206,685,891
1889,362,241,1,0,132,1429,1561,132,622,754
2686,362,91,0,0,199,1943,2142,115,121,236
2797,362,89,0,0,89,846,935,37,193,230
3518,362,275,1,2,24,846,870,51,704,755
632,361,135,1,2,89,880,969,92,344,436
1336,361,184,0,0,527,788,1315,220,174,394
2675,361,74,0,0,11,1017,1028,6,123,129
2896,361,211,1,2,669,1475,2144,281,535,816
535,360,146,1,0,7,880,887,105,416,521
753,360,57,0,0,1850,1079,2929,125,28,153
1926,360,54,0,0,104,1079,1183,181,260,441
533,359,56,0,1,820,88,908,217,137,354
302,358,128,0,0,1535,501,2036,234,73,307
3657,358,104,1,0,18,1585,1603,17,179,196
1070,357,239,1,2,314,780,1094,216,526,742
1433,357,83,1,2,99,1240,1339,76,301,377
1879,357,162,1,2,1287,1468,2755,491,201,692
1151,356,117,1,0,720,823,1543,251,249,500
979,355,60,1,2,524,398,922,74,0,74
1335,355,360,1,2,103,935,1038,205,712,917
1469,355,233,0,0,1102,0,1102,1500,1114,2614
2172,355,145,1,2,100,1096,1196,79,408,487
2269,355,107,0,0,16,1464,1480,35,183,218
3540,355,70,0,0,977,1149,2126,134,50,184
2465,354,297,1,2,321,1089,1410,77,772,849
3597,354,102,0,0,219,1260,1479,197,280,477
3686,353,5,0,0,2,1188,1190,5,10,15
566,352,168,0,0,928,456,1384,371,350,721
756,352,275,1,2,207,937,1144,97,939,1036
1688,352,134,0,0,553,503,1056,665,761,1426
2293,352,66,1,2,150,871,1021,162,63,225
932,351,69,1,0,266,1827,2093,11,126,137
3506,351,283,1,0,211,844,1055,91,658,749
133,350,185,1,0,539,413,952,442,506,948
296,350,355,0,0,194,564,758,282,1386,1668
1727,350,168,1,2,16,924,940,34,451,485
2032,350,160,0,1,702,89,791,517,178,695
187,349,298,0,0,567,114,681,1011,680,1691
880,349,94,0,1,872,374,1246,282,115,397
1429,349,348,1,2,505,238,743,499,613,1112
2044,349,294,1,2,363,357,720,387,905,1292
3235,349,186,1,0,265,534,799,144,419,563
2346,348,115,1,0,49,988,1037,76,243,319
761,347,35,0,1,1505,226,1731,230,179,409
2065,347,225,1,2,246,291,537,216,381,597
3900,347,253,1,2,64,1318,1382,27,935,962
882,346,129,0,1,942,0,942,340,0,340
2092,346,129,0,0,248,1660,1908,79,269,348
599,345,51,0,1,1836,488,2324,233,172,405
885,345,430,1,2,1001,55,1056,1239,1173,2412
1921,345,273,1,2,358,617,975,351,547,898
3887,345,9,1,0,43,552,595,9,2,11
119,344,244,1,2,108,1273,1381,87,539,626
350,344,177,0,0,711,170,881,936,558,1494
1260,344,447,1,0,28,564,592,47,1289,1336
942,343,380,1,2,400,848,1248,378,559,937
1268,343,231,1,0,671,96,767,897,577,1474
1454,343,345,2,1,1489,262,1751,890,56,946
2163,343,146,0,0,516,1093,1609,551,822,1373
292,342,116,1,2,859,0,859,179,0,179
1581,342,54,1,0,524,862,1386,54,37,91
1691,342,10,1,2,30,959,989,10,3,13
1885,342,293,1,0,12,739,751,24,867,891
2403,342,77,0,0,1215,1362,2577,309,289,598
3286,342,84,0,0,194,1092,1286,115,165,280
3507,342,91,0,0,126,1827,1953,85,276,361
3725,342,100,0,0,134,939,1073,194,334,528
3797,342,168,1,1,69,732,801,76,448,524
1262,341,93,1,2,888,26,914,193,60,253
1369,341,190,0,0,517,378,895,361,331,692
3632,341,67,0,0,300,1119,1419,52,58,110
3723,341,251,1,2,93,605,698,149,386,535
3866,341,255,1,0,9,675,684,76,506,582
102,340,86,1,0,524,33,557,49,126,175
813,340,251,0,0,661,0,661,614,0,614
2826,340,263,1,2,28,1152,1180,80,715,795
3316,340,205,1,2,97,911,1008,109,323,432
3938,340,166,1,2,81,965,1046,68,298,366
582,339,340,0,0,593,218,811,1619,1573,3192
1479,339,90,0,1,732,53,785,135,15,150
1531,339,159,1,0,429,730,1159,188,156,344
2133,339,367,1,0,71,793,864,120,1143,1263
503,338,160,0,1,654,82,736,1083,653,1736
622,338,73,0,0,184,1108,1292,63,115,178
1439,338,97,0,0,40,824,864,142,442,584
1595,337,51,0,0,615,1128,1743,239,11,250
2356,337,75,1,2,25,1718,1743,21,180,201
3424,337,135,0,0,402,359,761,115,255,370
23,336,336,1,0,539,16,555,561,640,1201
657,336,180,1,2,346,500,846,179,525,704
748,336,199,1,0,103,678,781,97,362,459
1101,336,240,1,0,205,521,726,385,488,873
2156,336,168,0,1,1165,170,1335,517,193,710
2117,335,32,0,1,1923,636,2559,136,101,237
3700,335,81,0,0,671,629,1300,116,53,169
334,334,183,1,2,1036,195,1231,558,15,573
3240,334,185,0,2,57,1680,1737,74,645,719
3621,334,212,0,0,191,899,1090,167,576,743
1658,333,76,0,0,447,583,1030,327,144,471
2530,333,58,0,0,7,897,904,104,201,305
2543,333,5,1,2,3,972,975,0,5,5
2956,333,32,0,0,71,1667,1738,23,63,86
259,332,357,2,1,3171,449,3620,2394,231,2625
2223,332,112,0,0,251,775,1026,120,250,370
2884,332,166,0,0,129,1065,1194,48,413,461
59,331,253,1,0,445,111,556,196,785,981
278,331,120,0,0,155,722,877,167,310,477
2331,331,95,0,0,117,1097,1214,243,303,546
148,330,84,0,1,667,1,668,258,101,359
192,330,347,1,2,578,3,581,507,1113,1620
2112,330,89,1,2,313,1250,1563,212,20,232
2723,330,145,1,2,160,894,1054,117,378,495
3145,330,83,1,1,14,656,670,9,185,194
400,329,267,1,2,495,364,859,402,908,1310
1092,329,285,1,2,54,904,958,52,846,898
1230,329,65,0,0,258,770,1028,132,110,242
2680,329,286,1,2,155,643,798,136,724,860
2804,329,257,1,0,2,1000,1002,23,1097,1120
3134,329,37,0,0,690,3,693,146,92,238
3254,329,25,0,0,56,986,1042,18,43,61
3451,328,64,1,2,65,1107,1172,14,928,942
349,327,36,0,0,1247,447,1694,59,8,67
3099,327,155,0,0,470,1120,1590,571,796,1367
3213,326,83,0,0,916,662,1578,326,271,597
884,325,383,1,0,308,226,534,421,747,1168
1820,325,64,0,0,24,892,916,14,141,155
796,324,88,0,0,50,591,641,77,170,247
1135,324,207,1,2,10,1040,1050,16,654,670
352,323,38,0,0,1662,887,2549,275,18,293
636,323,262,1,2,898,0,898,470,0,470
1444,323,50,0,0,617,1383,2000,156,205,361
1497,323,25,0,0,0,1165,1165,11,39,50
1538,323,284,1,0,84,566,650,169,750,919
409,322,57,0,0,1022,616,1638,203,217,420
792,322,436,1,2,501,243,744,569,978,1547
3803,322,198,1,0,34,1153,1187,58,617,675
1041,321,174,1,2,91,943,1034,51,385,436
1723,321,214,1,2,244,353,597,150,353,503
1858,321,211,2,1,4389,0,4389,876,0,876
1863,321,157,0,0,381,494,875,636,305,941
633,320,32,0,1,1683,18,1701,130,80,210
639,320,107,1,0,324,235,559,135,64,199
2534,320,55,0,1,565,1,566,150,64,214
2840,320,327,1,0,123,889,1012,156,779,935
570,319,185,0,0,887,746,1633,486,709,1195
2565,319,190,1,2,363,331,694,307,397,704
685,318,63,0,0,1540,32,1572,1273,1238,2511
1045,318,211,0,1,1024,60,1084,761,336,1097
2311,318,196,0,0,219,906,1125,457,954,1411
2316,318,25,0,0,456,1517,1973,164,175,339
3560,318,44,0,0,143,1494,1637,21,67,88
1467,317,42,1,2,20,903,923,22,63,85
3079,317,139,1,0,110,1635,1745,32,634,666
3378,317,127,0,0,1093,615,1708,387,314,701
509,316,86,0,1,1287,0,1287,304,0,304
1873,316,197,1,0,147,518,665,299,512,811
3498,316,81,0,0,1035,406,1441,729,596,1325
150,315,205,0,0,1160,137,1297,742,604,1346
397,315,87,0,0,664,985,1649,203,216,419
541,315,158,0,0,516,531,1047,271,355,626
2930,315,114,0,1,698,191,889,307,312,619
3160,315,115,1,1,1517,781,2298,422,53,475
85,314,59,0,0,34,843,877,68,135,203
1850,314,11,0,0,76,2355,2431,10,6,16
146,313,16,0,0,0,1341,1341,0,19,19
2409,313,39,0,1,769,5,774,948,884,1832
3089,313,138,0,0,26,1249,1275,42,315,357
2125,312,130,0,1,609,95,704,586,364,950
2969,312,204,0,0,97,802,899,82,553,635
3411,312,78,0,0,427,390,817,545,469,1014
1620,311,294,1,2,53,614,667,92,683,775
1738,311,12,0,0,2,1321,1323,5,16,21
2940,311,122,1,2,5,1284,1289,50,441,491
417,310,277,1,2,125,468,593,181,586,767
768,310,236,1,0,52,499,551,141,417,558
719,309,101,0,0,1142,138,1280,1986,1874,3860
841,309,104,0,0,416,294,710,164,50,214
1150,309,54,0,0,323,1139,1462,97,81,178
832,308,490,1,2,608,113,721,600,1368,1968
3510,308,171,0,0,145,821,966,274,616,890
987,307,175,0,0,510,86,596,1424,1086,2510
1171,307,126,0,0,434,89,523,206,44,250
2353,307,229,0,0,659,987,1646,922,705,1627
3883,306,288,1,0,110,885,995,66,985,1051
42,305,137,0,0,241,336,577,316,553,869
186,305,284,1,0,706,94,800,1186,529,1715
198,305,195,1,0,0,726,726,62,554,616
396,305,123,0,0,626,736,1362,251,302,553
924,305,249,1,2,128,461,589,264,522,786
1037,305,92,0,1,8,890,898,38,179,217
2364,305,104,0,0,144,947,1091,218,188,406
70,304,456,2,1,835,1311,2146,1547,4,1551
1007,304,45,0,0,66,582,648,390,466,856
1292,304,224,0,0,1115,95,1210,1345,634,1979
1478,304,260,0,0,555,711,1266,596,389,985
1666,304,146,0,0,579,387,966,308,295,603
1915,304,124,1,1,318,835,1153,26,171,197
2028,304,108,0,1,1476,701,2177,225,1,226
776,303,146,0,0,354,398,752,470,434,904
1855,303,72,1,0,568,192,760,140,39,179
1947,303,370,1,2,164,639,803,77,1310,1387
469,302,60,0,1,1086,34,1120,338,326,664
482,302,108,0,1,792,0,792,162,0,162
525,302,133,0,0,537,141,678,223,143,366
1888,302,131,0,0,329,1835,2164,150,384,534
558,301,37,0,0,321,904,1225,71,98,169
2549,301,143,0,0,3,733,736,6,306,312
3619,301,158,1,2,169,436,605,518,171,689
1488,300,105,0,0,237,699,936,215,222,437
1562,300,202,1,2,163,863,1026,100,482,582
2174,300,255,1,2,302,254,556,377,473,850
2574,300,199,1,2,128,653,781,92,427,519
3429,300,289,1,2,134,587,721,109,942,1051
166,298,126,0,0,188,439,627,348,297,645
1674,298,139,0,0,1126,384,1510,338,294,632
2013,298,76,0,0,419,821,1240,279,362,641
3730,298,404,1,0,436,185,621,411,947,1358
662,297,164,0,0,358,663,1021,295,512,807
1842,297,103,1,2,274,474,748,93,82,175
3230,297,206,1,2,142,684,826,127,575,702
1334,296,269,1,2,194,904,1098,183,863,1046
1959,296,30,0,0,2075,1397,3472,205,156,361
3533,296,18,0,0,3,1201,1204,8,21,29
3623,296,278,1,2,1160,755,1915,507,969,1476
1451,295,77,0,0,439,898,1337,136,86,222
1476,295,167,0,0,310,314,624,585,295,880
1642,295,251,1,0,144,422,566,407,712,1119
1813,295,77,0,1,921,391,1312,410,341,751
1866,295,230,0,0,828,20,848,870,810,1680
2297,295,97,0,1,1051,603,1654,582,401,983
2772,295,200,0,1,25,610,635,109,804,913
3461,295,169,0,0,11,814,825,57,393,450
3778,295,94,1,0,434,876,1310,119,149,268
403,293,133,1,2,22,1192,1214,74,358,432
572,293,210,1,2,329,241,570,426,273,699
1006,293,34,0,0,480,465,945,75,44,119
293,292,249,1,2,395,459,854,199,629,828
1473,292,109,0,0,285,484,769,79,84,163
1786,292,24,0,0,145,948,1093,115,132,247
3516,292,107,0,0,423,680,1103,471,522,993
72,291,109,0,0,819,0,819,210,0,210
994,291,308,1,2,88,545,633,95,848,943
2436,291,126,1,2,9,984,993,4,285,289
3084,291,274,1,2,381,198,579,624,219,843
1173,290,32,0,0,820,1008,1828,188,158,346
1222,290,156,0,0,395,223,618,886,623,1509
1799,290,199,0,0,121,670,791,129,530,659
3423,290,173,0,0,125,603,728,741,1069,1810
80,289,132,0,0,1005,449,1454,359,232,591
2794,289,43,0,0,192,1459,1651,46,37,83
3060,289,56,0,0,164,631,795,267,236,503
874,288,121,1,2,639,190,829,160,7,167
1704,288,118,1,0,224,352,576,325,334,659
2121,288,28,0,0,424,1076,1500,61,50,111
26,287,88,0,0,124,1185,1309,116,139,255
859,287,19,0,1,598,0,598,402,380,782
1265,287,180,1,0,407,80,487,325,214,539
3255,287,30,0,0,36,1052,1088,45,75,120
1352,286,111,0,0,659,408,1067,538,470,1008
1435,286,142,1,2,115,896,1011,144,404,548
704,285,171,0,1,879,54,933,1236,535,1771
1410,285,202,0,0,405,299,704,474,548,1022
2363,285,92,1,0,11,767,778,38,194,232
522,284,431,1,2,398,117,515,335,1266,1601
872,284,137,0,0,194,853,1047,148,194,342
1046,284,145,0,0,652,222,874,287,224,511
3522,284,22,0,0,44,1185,1229,6,23,29
585,283,99,0,0,95,1132,1227,39,297,336
1130,283,37,0,1,1269,0,1269,52,0,52
1933,283,233,1,2,1067,0,1067,1300,0,1300
3149,283,75,0,1,494,0,494,96,0,96
754,282,56,0,0,62,933,995,93,176,269
1058,282,43,0,0,125,707,832,192,210,402
1553,282,189,1,2,7,585,592,65,484,549
1659,282,181,0,0,307,206,513,373,347,720
1756,282,130,0,0,204,457,661,341,280,621
946,281,67,0,0,704,79,783,140,70,210
1089,281,122,0,0,210,383,593,438,437,875
1269,281,41,0,0,118,664,782,345,389,734
1646,281,376,1,2,229,360,589,549,940,1489
1924,281,13,0,0,19,923,942,7,20,27
2196,281,42,0,1,964,28,992,117,53,170
2219,281,321,1,2,135,417,552,155,957,1112
3336,281,99,0,0,1074,315,1389,115,160,275
3523,281,149,0,0,866,475,1341,727,697,1424
1464,280,99,0,1,506,96,602,172,5,177
1807,280,133,0,0,539,197,736,470,407,877
1178,279,86,0,0,960,584,1544,363,279,642
1357,279,232,2,2,1017,133,1150,527,54,581
1422,279,345,1,2,295,211,506,555,679,1234
1452,279,176,0,0,534,410,944,162,188,350
1494,279,227,2,1,2316,467,2783,697,8,705
1697,279,466,1,0,427,42,469,116,1820,1936
138,278,74,0,0,736,157,893,1005,976,1981
651,278,107,0,0,73,955,1028,201,392,593
844,278,221,1,2,213,256,469,217,278,495
2559,278,60,0,1,379,474,853,124,66,190
3186,278,124,0,0,375,887,1262,136,335,471
3869,278,261,1,0,42,523,565,207,888,1095
348,277,42,0,0,1673,0,1673,63,0,63
426,277,181,1,2,243,266,509,261,713,974
557,277,119,0,0,822,1648,2470,327,498,825
1044,277,91,0,1,1357,896,2253,744,740,1484
2141,277,134,1,2,154,286,440,276,447,723
3492,277,234,0,0,39,514,553,367,956,1323
583,276,161,1,0,1,689,690,6,529,535
771,276,113,0,1,1180,421,1601,1104,1056,2160
967,276,38,0,0,1022,301,1323,94,73,167
1005,276,33,0,1,780,184,964,556,501,1057
1138,276,290,0,0,101,688,789,292,980,1272
1426,276,168,0,0,248,478,726,484,627,1111
1639,276,110,1,1,376,236,612,333,292,625
19,275,257,1,2,662,0,662,383,310,693
1340,275,183,0,0,210,399,609,129,535,664
3670,275,88,0,0,171,920,1091,139,256,395
1389,274,220,1,2,13,698,711,37,462,499
1403,274,272,0,0,819,432,1251,576,322,898
1463,274,99,0,0,806,378,1184,782,731,1513
2693,274,40,0,0,1120,619,1739,373,356,729
170,273,47,0,0,946,546,1492,62,6,68
251,273,281,2,1,1396,983,2379,1374,208,1582
1533,273,101,0,0,316,398,714,686,473,1159
3959,273,158,0,0,336,290,626,508,459,967
435,272,141,0,1,905,367,1272,670,476,1146
741,272,142,1,0,326,175,501,264,90,354
845,272,51,0,1,618,0,618,67,0,67
1489,272,134,0,0,507,136,643,332,359,691
3472,272,210,0,0,194,349,543,549,637,1186
1246,271,90,0,1,721,296,1017,577,706,1283
211,270,153,1,0,153,503,656,105,254,359
1549,270,65,0,0,228,735,963,105,193,298
1614,270,152,1,0,1422,352,1774,677,445,1122
758,269,196,0,1,15,799,814,132,584,716
787,269,37,0,1,479,419,898,48,39,87
1969,269,215,1,0,77,620,697,77,664,741
3360,269,318,1,0,268,345,613,310,1162,1472
1609,268,78,0,0,190,1165,1355,31,220,251
3538,268,278,0,0,361,402,763,314,855,1169
770,267,194,0,0,354,174,528,165,751,916
1709,267,81,0,0,554,288,842,208,186,394
2078,267,77,0,0,123,870,993,131,125,256
195,266,156,0,0,246,204,450,146,484,630
486,266,235,1,2,57,466,523,43,705,748
2842,266,69,0,1,803,370,1173,227,171,398
1094,265,330,0,0,46,464,510,112,872,984
1134,265,123,0,0,83,983,1066,68,289,357
2337,265,257,1,1,148,315,463,420,649,1069
1228,264,110,0,1,576,137,713,694,809,1503
1237,264,184,0,0,377,283,660,1063,772,1835
1648,264,83,0,0,402,580,982,173,272,445
1939,264,78,0,1,506,381,887,197,73,270
